views,date
264542787,2015-07-01T00:00:00Z
270340050,2015-07-02T00:00:00Z
253265588,2015-07-03T00:00:00Z
253088829,2015-07-04T00:00:00Z
266057125,2015-07-05T00:00:00Z
295232447,2015-07-06T00:00:00Z
284852934,2015-07-07T00:00:00Z
284349313,2015-07-08T00:00:00Z
287886577,2015-07-09T00:00:00Z
272928819,2015-07-10T00:00:00Z
256332749,2015-07-11T00:00:00Z
277496269,2015-07-12T00:00:00Z
291507231,2015-07-13T00:00:00Z
285623430,2015-07-14T00:00:00Z
279702749,2015-07-15T00:00:00Z
275494706,2015-07-16T00:00:00Z
265363827,2015-07-17T00:00:00Z
254878046,2015-07-18T00:00:00Z
274995432,2015-07-19T00:00:00Z
291594028,2015-07-20T00:00:00Z
279927644,2015-07-21T00:00:00Z
278059086,2015-07-22T00:00:00Z
276560959,2015-07-23T00:00:00Z
265616838,2015-07-24T00:00:00Z
259880080,2015-07-25T00:00:00Z
273793015,2015-07-26T00:00:00Z
278781180,2015-07-27T00:00:00Z
286076545,2015-07-28T00:00:00Z
298396278,2015-07-29T00:00:00Z
270553655,2015-07-30T00:00:00Z
264423447,2015-07-31T00:00:00Z
254031394,2015-08-01T00:00:00Z
260589061,2015-08-02T00:00:00Z
244654250,2015-08-03T00:00:00Z
270049948,2015-08-04T00:00:00Z
268896090,2015-08-05T00:00:00Z
266350532,2015-08-06T00:00:00Z
266093608,2015-08-07T00:00:00Z
252998454,2015-08-08T00:00:00Z
274011785,2015-08-09T00:00:00Z
271645974,2015-08-10T00:00:00Z
281510157,2015-08-11T00:00:00Z
275514918,2015-08-12T00:00:00Z
273490639,2015-08-13T00:00:00Z
266648770,2015-08-14T00:00:00Z
255128973,2015-08-15T00:00:00Z
277794226,2015-08-16T00:00:00Z
289032998,2015-08-17T00:00:00Z
282907632,2015-08-18T00:00:00Z
277939741,2015-08-19T00:00:00Z
277204958,2015-08-20T00:00:00Z
268864807,2015-08-21T00:00:00Z
258078689,2015-08-22T00:00:00Z
282519959,2015-08-23T00:00:00Z
288348355,2015-08-24T00:00:00Z
286828095,2015-08-25T00:00:00Z
283092256,2015-08-26T00:00:00Z
272073171,2015-08-27T00:00:00Z
264922452,2015-08-28T00:00:00Z
255909267,2015-08-29T00:00:00Z
271658445,2015-08-30T00:00:00Z
286969369,2015-08-31T00:00:00Z
277175388,2015-09-01T00:00:00Z
283209905,2015-09-02T00:00:00Z
287347360,2015-09-03T00:00:00Z
272337139,2015-09-04T00:00:00Z
268422518,2015-09-05T00:00:00Z
292254040,2015-09-06T00:00:00Z
306425772,2015-09-07T00:00:00Z
316571838,2015-09-08T00:00:00Z
294412148,2015-09-09T00:00:00Z
280450803,2015-09-10T00:00:00Z
284327160,2015-09-11T00:00:00Z
273942201,2015-09-12T00:00:00Z
292669881,2015-09-13T00:00:00Z
295846688,2015-09-14T00:00:00Z
293569540,2015-09-15T00:00:00Z
297021744,2015-09-16T00:00:00Z
297512694,2015-09-17T00:00:00Z
278388148,2015-09-18T00:00:00Z
263015347,2015-09-19T00:00:00Z
288762738,2015-09-20T00:00:00Z
304978344,2015-09-21T00:00:00Z
299851614,2015-09-22T00:00:00Z
301224672,2015-09-23T00:00:00Z
294673691,2015-09-24T00:00:00Z
278297634,2015-09-25T00:00:00Z
261605562,2015-09-26T00:00:00Z
285083276,2015-09-27T00:00:00Z
296466615,2015-09-28T00:00:00Z
291466986,2015-09-29T00:00:00Z
287618502,2015-09-30T00:00:00Z
271921429,2015-10-01T00:00:00Z
270151607,2015-10-02T00:00:00Z
258751742,2015-10-03T00:00:00Z
284354777,2015-10-04T00:00:00Z
296780121,2015-10-05T00:00:00Z
310252624,2015-10-06T00:00:00Z
300292763,2015-10-07T00:00:00Z
284003731,2015-10-08T00:00:00Z
276296587,2015-10-09T00:00:00Z
264495197,2015-10-10T00:00:00Z
275900559,2015-10-11T00:00:00Z
298693418,2015-10-12T00:00:00Z
302324049,2015-10-13T00:00:00Z
304437248,2015-10-14T00:00:00Z
299056485,2015-10-15T00:00:00Z
275790456,2015-10-16T00:00:00Z
264802774,2015-10-17T00:00:00Z
286584148,2015-10-18T00:00:00Z
299890968,2015-10-19T00:00:00Z
304620198,2015-10-20T00:00:00Z
298490393,2015-10-21T00:00:00Z
300193471,2015-10-22T00:00:00Z
282999326,2015-10-23T00:00:00Z
264310245,2015-10-24T00:00:00Z
283358290,2015-10-25T00:00:00Z
298041553,2015-10-26T00:00:00Z
299052180,2015-10-27T00:00:00Z
292374069,2015-10-28T00:00:00Z
293789339,2015-10-29T00:00:00Z
275004936,2015-10-30T00:00:00Z
258645698,2015-10-31T00:00:00Z
273714443,2015-11-01T00:00:00Z
298299826,2015-11-02T00:00:00Z
304650107,2015-11-03T00:00:00Z
300623659,2015-11-04T00:00:00Z
293789433,2015-11-05T00:00:00Z
287455738,2015-11-06T00:00:00Z
265579957,2015-11-07T00:00:00Z
289463195,2015-11-08T00:00:00Z
305334063,2015-11-09T00:00:00Z
301091414,2015-11-10T00:00:00Z
289213009,2015-11-11T00:00:00Z
294806142,2015-11-12T00:00:00Z
272254661,2015-11-13T00:00:00Z
258590230,2015-11-14T00:00:00Z
290753420,2015-11-15T00:00:00Z
302159782,2015-11-16T00:00:00Z
285840190,2015-11-17T00:00:00Z
285742685,2015-11-18T00:00:00Z
290707407,2015-11-19T00:00:00Z
279494821,2015-11-20T00:00:00Z
265257365,2015-11-21T00:00:00Z
287187064,2015-11-22T00:00:00Z
296738430,2015-11-23T00:00:00Z
291015849,2015-11-24T00:00:00Z
277746090,2015-11-25T00:00:00Z
273562350,2015-11-26T00:00:00Z
265316343,2015-11-27T00:00:00Z
270001193,2015-11-28T00:00:00Z
286316830,2015-11-29T00:00:00Z
299239042,2015-11-30T00:00:00Z
292104694,2015-12-01T00:00:00Z
291268249,2015-12-02T00:00:00Z
284829416,2015-12-03T00:00:00Z
280259970,2015-12-04T00:00:00Z
261321725,2015-12-05T00:00:00Z
284166132,2015-12-06T00:00:00Z
305591702,2015-12-07T00:00:00Z
298981602,2015-12-08T00:00:00Z
294528943,2015-12-09T00:00:00Z
288164319,2015-12-10T00:00:00Z
283184710,2015-12-11T00:00:00Z
259204185,2015-12-12T00:00:00Z
288988287,2015-12-13T00:00:00Z
303919804,2015-12-14T00:00:00Z
292996869,2015-12-15T00:00:00Z
280420003,2015-12-16T00:00:00Z
273632771,2015-12-17T00:00:00Z
265359978,2015-12-18T00:00:00Z
256322232,2015-12-19T00:00:00Z
