timestamp,views
1 07 2015,264542787
2 07 2015,270340050
3 07 2015,253265588
4 07 2015,253088829
5 07 2015,266057125
6 07 2015,295232447
7 07 2015,284852934
8 07 2015,284349313
9 07 2015,287886577
10 07 2015,272928819
11 07 2015,256332749
12 07 2015,277496269
13 07 2015,291507231
14 07 2015,285623430
15 07 2015,279702749
16 07 2015,275494706
17 07 2015,265363827
18 07 2015,254878046
19 07 2015,274995432
20 07 2015,291594028
21 07 2015,279927644
22 07 2015,278059086
23 07 2015,276560959
24 07 2015,265616838
25 07 2015,259880080
26 07 2015,273793015
27 07 2015,278781180
28 07 2015,286076545
29 07 2015,298396278
30 07 2015,270553655
31 07 2015,264423447
1 08 2015,254031394
2 08 2015,260589061
3 08 2015,244654250
4 08 2015,270049948
5 08 2015,268896090
6 08 2015,266350532
7 08 2015,266093608
8 08 2015,252998454
9 08 2015,274011785
10 08 2015,271645974
11 08 2015,281510157
12 08 2015,275514918
13 08 2015,273490639
14 08 2015,266648770
15 08 2015,255128973
16 08 2015,277794226
17 08 2015,289032998
18 08 2015,282907632
19 08 2015,277939741
20 08 2015,277204958
21 08 2015,268864807
22 08 2015,258078689
23 08 2015,282519959
24 08 2015,288348355
25 08 2015,286828095
26 08 2015,283092256
27 08 2015,272073171
28 08 2015,264922452
29 08 2015,255909267
30 08 2015,271658445
31 08 2015,286969369
1 09 2015,277175388
2 09 2015,283209905
3 09 2015,287347360
4 09 2015,272337139
5 09 2015,268422518
6 09 2015,292254040
7 09 2015,306425772
8 09 2015,316571838
9 09 2015,294412148
10 09 2015,280450803
11 09 2015,284327160
12 09 2015,273942201
13 09 2015,292669881
14 09 2015,295846688
15 09 2015,293569540
16 09 2015,297021744
17 09 2015,297512694
18 09 2015,278388148
19 09 2015,263015347
20 09 2015,288762738
21 09 2015,304978344
22 09 2015,299851614
23 09 2015,301224672
24 09 2015,294673691
25 09 2015,278297634
26 09 2015,261605562
27 09 2015,285083276
28 09 2015,296466615
29 09 2015,291466986
30 09 2015,287618502
1 10 2015,271921429
2 10 2015,270151607
3 10 2015,258751742
