views,date
320.916982,2021-01-01T00:00:00Z
342.942096,2021-01-02T00:00:00Z
348.913976,2021-01-03T00:00:00Z
335.991143,2021-01-04T00:00:00Z
331.791204,2021-01-05T00:00:00Z
331.5602,2021-01-06T00:00:00Z
328.94986,2021-01-07T00:00:00Z
326.41122,2021-01-08T00:00:00Z
335.779438,2021-01-09T00:00:00Z
350.059568,2021-01-10T00:00:00Z
342.930347,2021-01-11T00:00:00Z
337.88124,2021-01-12T00:00:00Z
335.589992,2021-01-13T00:00:00Z
333.170355,2021-01-14T00:00:00Z
321.946195,2021-01-15T00:00:00Z
326.957646,2021-01-16T00:00:00Z
342.396882,2021-01-17T00:00:00Z
339.872367,2021-01-18T00:00:00Z
330.336727,2021-01-19T00:00:00Z
344.2832,2021-01-20T00:00:00Z
331.508596,2021-01-21T00:00:00Z
323.469988,2021-01-22T00:00:00Z
327.85111,2021-01-23T00:00:00Z
347.360633,2021-01-24T00:00:00Z
336.760332,2021-01-25T00:00:00Z
331.77666,2021-01-26T00:00:00Z
330.370457,2021-01-27T00:00:00Z
322.536174,2021-01-28T00:00:00Z
318.312428,2021-01-29T00:00:00Z
326.517038,2021-01-30T00:00:00Z
339.22742,2021-01-31T00:00:00Z
340.579862,2021-02-01T00:00:00Z
327.733774,2021-02-02T00:00:00Z
335.044562,2021-02-03T00:00:00Z
326.653859,2021-02-04T00:00:00Z
319.121401,2021-02-05T00:00:00Z
325.072702,2021-02-06T00:00:00Z
342.989898,2021-02-07T00:00:00Z
340.416749,2021-02-08T00:00:00Z
323.356858,2021-02-09T00:00:00Z
317.182967,2021-02-10T00:00:00Z
322.595434,2021-02-11T00:00:00Z
318.765255,2021-02-12T00:00:00Z
325.742587,2021-02-13T00:00:00Z
342.112736,2021-02-14T00:00:00Z
335.088757,2021-02-15T00:00:00Z
328.079385,2021-02-16T00:00:00Z
331.114729,2021-02-17T00:00:00Z
332.988685,2021-02-18T00:00:00Z
335.40168,2021-02-19T00:00:00Z
330.006919,2021-02-20T00:00:00Z
347.175839,2021-02-21T00:00:00Z
345.509691,2021-02-22T00:00:00Z
336.745521,2021-02-23T00:00:00Z
337.037139,2021-02-24T00:00:00Z
334.473546,2021-02-25T00:00:00Z
318.744471,2021-02-26T00:00:00Z
319.737168,2021-02-27T00:00:00Z
338.492349,2021-02-28T00:00:00Z
341.604678,2021-03-01T00:00:00Z
328.234939,2021-03-02T00:00:00Z
320.481151,2021-03-03T00:00:00Z
317.720859,2021-03-04T00:00:00Z
317.162671,2021-03-05T00:00:00Z
317.560595,2021-03-06T00:00:00Z
336.255281,2021-03-07T00:00:00Z
333.686595,2021-03-08T00:00:00Z
322.586627,2021-03-09T00:00:00Z
323.383823,2021-03-10T00:00:00Z
320.553529,2021-03-11T00:00:00Z
309.97756,2021-03-12T00:00:00Z
316.31455,2021-03-13T00:00:00Z
341.662279,2021-03-14T00:00:00Z
337.079848,2021-03-15T00:00:00Z
319.980306,2021-03-16T00:00:00Z
317.696171,2021-03-17T00:00:00Z
317.65517,2021-03-18T00:00:00Z
314.673791,2021-03-19T00:00:00Z
311.791462,2021-03-20T00:00:00Z
320.891857,2021-03-21T00:00:00Z
318.383954,2021-03-22T00:00:00Z
314.50818400000003,2021-03-23T00:00:00Z
321.701621,2021-03-24T00:00:00Z
326.361792,2021-03-25T00:00:00Z
313.623533,2021-03-26T00:00:00Z
316.74566,2021-03-27T00:00:00Z
342.674241,2021-03-28T00:00:00Z
327.962787,2021-03-29T00:00:00Z
312.580732,2021-03-30T00:00:00Z
314.485844,2021-03-31T00:00:00Z
314.696144,2021-04-01T00:00:00Z
317.579547,2021-04-02T00:00:00Z
325.145429,2021-04-03T00:00:00Z
326.952313,2021-04-04T00:00:00Z
337.809201,2021-04-05T00:00:00Z
326.203486,2021-04-06T00:00:00Z
321.216765,2021-04-07T00:00:00Z
319.668832,2021-04-08T00:00:00Z
330.827484,2021-04-09T00:00:00Z
328.963627,2021-04-10T00:00:00Z
339.761794,2021-04-11T00:00:00Z
331.28087,2021-04-12T00:00:00Z
323.038101,2021-04-13T00:00:00Z
320.909029,2021-04-14T00:00:00Z
316.579453,2021-04-15T00:00:00Z
315.708497,2021-04-16T00:00:00Z
327.800661,2021-04-17T00:00:00Z
336.864743,2021-04-18T00:00:00Z
328.021462,2021-04-19T00:00:00Z
324.776428,2021-04-20T00:00:00Z
319.103474,2021-04-21T00:00:00Z
317.510339,2021-04-22T00:00:00Z
313.482177,2021-04-23T00:00:00Z
314.990803,2021-04-24T00:00:00Z
332.072626,2021-04-25T00:00:00Z
334.959234,2021-04-26T00:00:00Z
315.573926,2021-04-27T00:00:00Z
313.908861,2021-04-28T00:00:00Z
310.831049,2021-04-29T00:00:00Z
305.879778,2021-04-30T00:00:00Z
310.074207,2021-05-01T00:00:00Z
321.427226,2021-05-02T00:00:00Z
329.518899,2021-05-03T00:00:00Z
316.453482,2021-05-04T00:00:00Z
316.305362,2021-05-05T00:00:00Z
311.700007,2021-05-06T00:00:00Z
310.059042,2021-05-07T00:00:00Z
311.722273,2021-05-08T00:00:00Z
322.400956,2021-05-09T00:00:00Z
327.672044,2021-05-10T00:00:00Z
321.23218,2021-05-11T00:00:00Z
318.785676,2021-05-12T00:00:00Z
310.706076,2021-05-13T00:00:00Z
314.803798,2021-05-14T00:00:00Z
309.764095,2021-05-15T00:00:00Z
326.233236,2021-05-16T00:00:00Z
328.904892,2021-05-17T00:00:00Z
320.306743,2021-05-18T00:00:00Z
309.904967,2021-05-19T00:00:00Z
311.921932,2021-05-20T00:00:00Z
305.70139,2021-05-21T00:00:00Z
305.456576,2021-05-22T00:00:00Z
334.565836,2021-05-23T00:00:00Z
331.728808,2021-05-24T00:00:00Z
321.960612,2021-05-25T00:00:00Z
320.438194,2021-05-26T00:00:00Z
317.758091,2021-05-27T00:00:00Z
313.760955,2021-05-28T00:00:00Z
321.560628,2021-05-29T00:00:00Z
327.107038,2021-05-30T00:00:00Z
321.098013,2021-05-31T00:00:00Z
316.004515,2021-06-01T00:00:00Z
319.181211,2021-06-02T00:00:00Z
311.290159,2021-06-03T00:00:00Z
303.261685,2021-06-04T00:00:00Z
289.61865,2021-06-05T00:00:00Z
309.609402,2021-06-06T00:00:00Z
315.046421,2021-06-07T00:00:00Z
302.029278,2021-06-08T00:00:00Z
301.182357,2021-06-09T00:00:00Z
299.566034,2021-06-10T00:00:00Z
295.146233,2021-06-11T00:00:00Z
292.573132,2021-06-12T00:00:00Z
304.191512,2021-06-13T00:00:00Z
304.234855,2021-06-14T00:00:00Z
293.822377,2021-06-15T00:00:00Z
289.955735,2021-06-16T00:00:00Z
303.896926,2021-06-17T00:00:00Z
290.801957,2021-06-18T00:00:00Z
292.129254,2021-06-19T00:00:00Z
300.519918,2021-06-20T00:00:00Z
300.304853,2021-06-21T00:00:00Z
294.117399,2021-06-22T00:00:00Z
295.340368,2021-06-23T00:00:00Z
294.557545,2021-06-24T00:00:00Z
289.140853,2021-06-25T00:00:00Z
292.109164,2021-06-26T00:00:00Z
307.247279,2021-06-27T00:00:00Z
310.044814,2021-06-28T00:00:00Z
